72,123.45561
149,131.05693
199,123.53337
224,129.20941
255,150.34732
256,130.92003
269,138.51338
959,141.01753
960,121.256294
1760,142.95772
1763,158.24393
1865,124.96475
1898,144.76964
1960,129.6226
1970,141.09041
1971,148.09142
1980,137.6976
1992,140.38527
2644,128.76701
2669,128.93047
2679,141.38857
2680,153.02151
2688,176.01962
3036,153.3887
3264,143.27821
3266,129.3137
3387,140.42082
3594,127.40968
3616,139.87129
3619,138.80737
3639,134.17395
3805,147.88013
3869,148.04886
3870,124.71594
3880,160.13055
3881,158.53415
4845,-134.89047
